Index	Joint name	Parent joint
0	PELVIS	-
1	SPINE_NAVAL	PELVIS
2	PELVIS_LEFT	PELVIS
3	PELVIS_RIGHT	PELVIS
4	SPINE_CHEST	SPINE_NAVAL
5	NECK	SPINE_CHEST
6	CLAVICLE_LEFT	SPINE_CHEST
7	SHOULDER_LEFT	CLAVICLE_LEFT
8	ELBOW_LEFT	SHOULDER_LEFT
9	WRIST_LEFT	ELBOW_LEFT
10	HAND_LEFT	WRIST_LEFT
11	HANDTIP_LEFT	HAND_LEFT
12	THUMB_LEFT	WRIST_LEFT
13	CLAVICLE_RIGHT	SPINE_CHEST
14	SHOULDER_RIGHT	CLAVICLE_RIGHT
15	ELBOW_RIGHT	SHOULDER_RIGHT
16	WRIST_RIGHT	ELBOW_RIGHT
17	HAND_RIGHT	WRIST_RIGHT
18	HANDTIP_RIGHT	HAND_RIGHT
19	THUMB_RIGHT	WRIST_RIGHT
20	HIP_LEFT	PELVIS_LEFT
21	KNEE_LEFT	HIP_LEFT
22	ANKLE_LEFT	KNEE_LEFT
23	FOOT_LEFT	ANKLE_LEFT
24	HIP_RIGHT	PELVIS_RIGHT
25	KNEE_RIGHT	HIP_RIGHT
26	ANKLE_RIGHT	KNEE_RIGHT
27	FOOT_RIGHT	ANKLE_RIGHT
28	HEAD	NECK
29	NOSE	HEAD
30	EYE_LEFT	HEAD
31	EAR_LEFT	HEAD
32	EYE_RIGHT	HEAD
33	EAR_RIGHT	HEAD
