Index	Joint name	Parent joint
0	Hips	-
1	Spine	Hips
2	SPINE_CHEST	SPINE_NAVAL
3	Neck	Spine
4	CLAVICLE_LEFT	SPINE_CHEST
5	LeftArm	Spine
6	LeftForeArm	LeftArm
7	LeftHand	LeftHand
8	HAND_LEFT	WRIST_LEFT
9	HANDTIP_LEFT	HAND_LEFT
10	THUMB_LEFT	WRIST_LEFT
11	CLAVICLE_RIGHT	SPINE_CHEST
12	RightArm	Spine
13	RightForeArm	RightArm
14	RightHand	RightForeArm
15	HAND_RIGHT	WRIST_RIGHT
16	HANDTIP_RIGHT	HAND_RIGHT
17	THUMB_RIGHT	WRIST_RIGHT
18	HIP_LEFT	PELVIS
19	LeftUpLeg	Hips
20	LeftLeg	LeftUpLeg
21	LeftFoot	LeftLeg
22	HIP_RIGHT	PELVIS
23	RightUpLeg	Hips
24	RightLeg	RightUpLeg
25	RightFoot	RightLeg
26	Head	neck
27	NOSE	HEAD
28	EYE_LEFT	HEAD
29	EAR_LEFT	HEAD
30	EYE_RIGHT	HEAD
31	EAR_RIGHT	HEAD
